iter	Passed	Remaining
0	468	233724
1	869	216460
2	1254	207791
3	1624	201450
4	2032	201253
5	2374	195477
6	2756	194154
7	3135	192816
8	3537	193009
9	3912	191721
10	4260	189386
11	4588	186610
12	4960	185831
13	5330	185055
14	5701	184336
15	6055	183193
16	6410	182130
17	6789	181800
18	7233	183118
19	7606	182544
20	7924	180759
21	8272	179735
22	8581	177968
23	8941	177343
24	9338	177438
25	9700	176854
26	9985	174939
27	10354	174548
28	10761	174776
29	11122	174260
30	11528	174422
31	11931	174494
32	12326	174440
33	12913	176993
34	13286	176521
35	13789	177728
36	14176	177396
37	14533	176702
38	14917	176331
39	15216	174989
40	15612	174781
41	15996	174438
42	16344	173711
43	16684	172911
44	17051	172411
45	17424	171975
46	17767	171248
47	18123	170661
48	18391	169272
49	18794	169151
50	19169	168764
51	19541	168358
52	19867	167559
53	20256	167300
54	20582	166534
55	21021	166673
56	21380	166165
57	21747	165731
58	22135	165451
59	22525	165189
60	22874	164624
61	23240	164182
62	23612	163789
63	24039	163766
64	24393	163245
65	24806	163123
66	25136	162448
67	25553	162337
68	25940	162035
69	26301	161564
70	26600	160725
71	26871	159738
72	27176	158961
73	27536	158520
74	27860	157875
75	28173	157179
76	28448	156282
77	28836	156012
78	29206	155644
79	29594	155371
80	29956	154958
81	30284	154379
82	30634	153908
83	31002	153534
84	31372	153173
85	31760	152891
86	32125	152503
87	32491	152121
88	32852	151712
89	33219	151335
90	33472	150441
91	33829	150028
92	34077	149135
93	34445	148776
94	34786	148298
95	35181	148055
96	35515	147554
97	35895	147245
98	36290	146995
99	36663	146653
100	37059	146402
101	37358	145773
102	37725	145407
103	38068	144954
104	38420	144535
105	38712	143891
106	38981	143176
107	39325	142737
108	39614	142102
109	39939	141604
110	40242	141028
111	40630	140756
112	40970	140316
113	41325	139925
114	41644	139416
115	41995	139018
116	42327	138558
117	42653	138080
118	43014	137718
119	43404	137447
120	43761	137071
121	44045	136470
122	44384	136039
123	44664	135434
124	44976	134929
125	45346	134601
126	45624	133999
127	45914	133438
128	46244	132996
129	46483	132300
130	46911	132140
131	47218	131640
132	47573	131273
133	47956	130986
134	48227	130393
135	48552	129949
136	48813	129337
137	49161	128960
138	49440	128404
139	49798	128053
140	50156	127703
141	50539	127416
142	50833	126906
143	51179	126528
144	51567	126252
145	51957	125979
146	52319	125637
147	52629	125173
148	52954	124745
149	53299	124364
150	53715	124150
151	54052	123751
152	54321	123199
153	54596	122665
154	54955	122320
155	55358	122071
156	55635	121548
157	55854	120900
158	56118	120354
159	56477	120014
160	56662	119308
161	57056	119043
162	57299	118466
163	57622	118055
164	57943	117642
165	58179	117060
166	58362	116375
167	58661	115926
168	58895	115351
169	59132	114786
170	59370	114227
171	59584	113626
172	59851	113129
173	60032	112475
174	60334	112050
175	60535	111441
176	60762	110882
177	61054	110447
178	61236	109815
179	61418	109189
180	61641	108638
181	61887	108132
182	62108	107587
183	62292	106981
184	62531	106472
185	62718	105880
186	62900	105283
187	63130	104769
188	63364	104266
189	63551	103688
190	63789	103198
191	64018	102696
192	64211	102139
193	64402	101582
194	64591	101028
195	64783	100480
196	65029	100019
197	65224	99483
198	65387	98903
199	65581	98372
200	65844	97948
201	66147	97584
202	66366	97097
203	66540	96549
204	66720	96011
205	67025	95658
206	67198	95117
207	67433	94666
208	67596	94117
209	67765	93580
210	67930	93041
211	68169	92607
212	68332	92071
213	68500	91547
214	68671	91029
